x_fibrinogen_before_hydrolysis_LDA,y_fibrinogen_before_hydrolysis_LDA,x_fibrinogen_after_hydrolysis_LDA,y_fibrinogen_after_hydrolysis_LDA
2,0.3662499857772031,2,0.4869539888156618
3,0.46354221927762557,3,0.5131802541871537
4,0.4923820083337314,4,0.7983528603321591
5,0.5162559573810881,5,0.8402408500463067
6,0.7369693897706452,6,0.8982987111367357
7,0.7952438876491841,7,0.9001843750552581
8,0.749621704242465,8,0.9541809224879129
9,0.845234191290011,9,0.9718912715299564
10,0.9171961355683044,10,0.96846941916194
11,0.9486563454951918,11,0.9789165897199138
12,0.9663405642817762,12,0.9947236512333465
13,0.9859385305368685,13,1.0
14,0.9964824341555644,14,0.9964824341555644
15,0.9876885195444752,15,0.9964824341555644
16,0.9929692652684342,16,0.9929648683111287
17,0.9964824341555644,17,0.9964824341555644
18,0.9947236512333465,18,0.9894473024666931
19,0.9875859238740126,19,0.9912060853889109
20,0.9894473024666931,20,0.9929648683111287
21,0.9912060853889109,21,0.9929648683111287
22,0.9859074853534687,22,0.9964824341555644
23,0.9876973134590863,23,0.9929648683111287
24,0.9735916079406384,24,0.9947236512333465
25,0.969962386028868,25,0.9947236512333465
26,0.971582880333084,26,0.9964824341555644
27,0.9557687413643092,27,0.9964824341555644
28,0.9841443054739454,28,0.9982412170777821
29,0.9682258543754388,29,0.9964824341555644
30,0.9665178363239305,30,1.0
31,0.9681948091920392,31,0.9964824341555644
32,0.9806000914034155,32,0.9964824341555644
33,0.9679567894174946,33,0.9964824341555644
34,0.9519795125302702,34,0.9929382200850345
35,0.9594382020974819,35,0.9982412170777821
36,0.9770771652444471,36,0.9964824341555644
37,0.967860123147723,37,0.9947236512333465
38,0.9701267749145553,38,0.9947236512333465
39,0.95545974018886,39,0.9982412170777821
40,0.9628105044403902,40,0.9982412170777821
41,0.9522971437098862,41,0.9911794371628166
42,0.9571452757590299,42,0.9947236512333465
43,0.9360016868327118,43,0.9912060853889109
44,0.9424463814092652,44,0.9947236512333465
45,0.9517061886269331,45,0.9912060853889109
46,0.946568826034788,46,0.9894206542405989
47,0.91479687957042,47,0.9947236512333465
48,0.9334197807580922,48,0.9929648683111287
49,0.9432832636678163,49,0.9911034897184482
50,0.9211004344754725,50,0.9876885195444752
51,0.9349790200935428,51,0.9947236512333465
52,0.9368219858524568,52,0.9894473024666931
53,0.9269227544496583,53,0.9841443054739454
54,0.9282208248124182,54,0.9876929165017808
55,0.9240967499424755,55,0.9929648683111287
56,0.9287364419184243,56,0.9876885195444752
57,0.9180586014869867,57,0.9859341335795629
58,0.9080164297831902,58,0.9804974957329528
59,0.9122398170031556,59,0.9859297366222574
60,0.9263084148667673,60,0.9840683580295768
61,0.9118288456408626,61,0.9841709537000396
62,0.879699096647967,62,0.9876885195444752
63,0.8823515552642517,63,0.9769799298885171
64,0.9026878255319783,64,0.9842202529183138
65,0.8963065597821993,65,0.9822829268812648
66,0.9122944974933271,66,0.9823855225517275
67,0.8770372044914911,67,0.9841753506573451
68,0.9012274687501927,68,0.9659045476761965
69,0.8866907946759666,69,0.9841443054739454
70,0.879491702909532,70,0.95737386659378
71,0.8821789681301835,71,0.9876885195444752
72,0.8724021492046515,72,0.9785420645775869
73,0.8807896792197294,73,0.9712036917511905
74,0.8525204583151392,74,0.9480085121249548
75,0.846297061240101,75,0.9627513760477749
76,0.8548757052106303,76,0.9412699595170849
77,0.8614046608306302,77,0.9504381327882402
78,0.8368151962627028,78,0.9366687997856038
79,0.8449366307057716,79,0.943158416728565
80,0.8430448680237913,80,0.9424509312019851
81,0.8657101245017732,81,0.9335955166083894
82,0.8187515847729023,82,0.9423757942794294
83,0.8054822826116689,83,0.9194869203367195
84,0.7988784502471263,84,0.9204095020295402
85,0.8463943192572462,85,0.8886010593371859
86,0.802704988335625,86,0.9179449551515637
87,0.7988471951833883,87,0.8733275565635945
88,0.7809760060185728,88,0.8820767355503206
89,0.7506162414710645,89,0.859557223996902
90,0.7189617880092265,90,0.8265257946714331
91,0.7156916055748984,91,0.8101925394310854
92,0.6621113424646875,92,0.722870413005304
93,0.6735704388176209,93,0.6976724964376545
94,0.6927527174104126,94,0.7484345195605241
95,0.7090883831884958,95,0.7218786370877955
96,0.7140167085876999,96,0.7177634810529724
97,0.7111738197712792,97,0.7234243920309906
98,0.7424508662159415,98,0.7072824966982642
99,0.7028243000771003,99,0.6392537750207522
100,0.7065818115258431,100,0.5985049839341636
101,0.7113250910165562,101,0.6319537033047623
102,0.7123263379490753,102,0.5920000289224736
103,0.6986730215938652,103,0.5429147322399939
104,0.6835100628012474,104,0.4968504096027712
105,0.6556442367811044,105,0.49844156908723614
106,0.6528168320082889,106,0.49011750007610433
107,0.6331992598520997,107,0.47095152851814404
108,0.6264110971741098,108,0.4069661477965469
109,0.5916256823502609,109,0.4422548966736043
110,0.5762809596166805,110,0.4205797325738406
111,0.5985541278363614,111,0.37685046629847807
112,0.5244754455636419,112,0.3439680221973652
113,0.5168387504846625,113,0.3599194340859718
114,0.5165482601640687,114,0.34491893676058766
115,0.514921284923977,115,0.3138059055321184
116,0.47812371257019187,116,0.3027122863430907
117,0.44644606005872783,117,0.2921418034042103
118,0.40214885001198947,118,0.3073406401262031
119,0.3942679335338379,119,0.27337017809404357
120,0.4088077416214769,120,0.24992172402139387
121,0.3841716863943179,121,0.2425203093614464
122,0.34200864370382594,122,0.24536196607662625
123,0.3784739890155367,123,0.22702787895840018
124,0.33619717702714047,124,0.2211359509036347
125,0.3340754994134,125,0.22712917436922228
126,0.34693974283010137,126,0.19698391701527024
127,0.2855389801911612,127,0.21354569400778778
128,0.27434552152524394,128,0.19832617563710506
129,0.2809264952895061,129,0.23257649044391612
130,0.2865088170186965,130,0.22256944397899828
131,0.274414089236726,131,0.2204394015079307
132,0.25572169150167184,132,0.2038258677411783
133,0.29301791109488773,133,0.22968822955851032
134,0.26326883479627705,134,0.23092797219958913
135,0.29616348515921787,135,0.21937291064463382
136,0.27020288535846343,136,0.26217944225811685
137,0.2624672897153255,137,0.24510071106078218
138,0.26730381855140684,138,0.26404808102840704
139,0.23138325117063016,139,0.252376318912121
140,0.2726555741062033,140,0.27242247523478264
141,0.2569997480400524,141,0.27329072485001243
142,0.30985368586448,142,0.31659621921196407
143,0.30956612295129204,143,0.30977182626660843
144,0.2784131052153713,144,0.3556096247355254
145,0.3262729006575431,145,0.35795439516515265
146,0.3810150283710302,146,0.4179234655958165
147,0.45121845178425835,147,0.5632004628524431
148,0.5722503573993232,148,0.7478377247605946
